,layers,layers_config,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
297,[256→64],"[(256, 'relu'), (64, 'relu')]",0.99,256,0.1,0.01,3.2909,0.1608,50
298,[128],"[(128, 'relu')]",0.97,256,0.1,0.01,3.2922,0.2274,15
299,[128],"[(128, 'relu')]",0.97,512,0.1,0.01,3.2998,0.3229,24
300,[512→128],"[(512, 'relu'), (128, 'relu')]",0.99,512,0.1,0.001,3.3003,0.2241,32
301,[256→64],"[(256, 'relu'), (64, 'relu')]",0.97,64,0.1,0.1,3.3064,0.0465,42
302,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,256,0.1,0.01,3.3092,0.1987,41
303,[512→128],"[(512, 'relu'), (128, 'relu')]",0.99,64,0.01,0.001,3.314,0.5801,16
304,[128],"[(128, 'relu')]",0.99,256,0.1,0.001,3.3141,0.2378,20
305,[1024],"[(1024, 'relu')]",0.995,256,0.1,0.001,3.3142,0.2689,15
306,[512→128],"[(512, 'relu'), (128, 'relu')]",0.97,64,0.1,0.1,3.3163,0.0623,31
307,[512],"[(512, 'relu')]",0.995,256,0.1,0.001,3.3212,0.2547,15
308,[512→128],"[(512, 'relu'), (128, 'relu')]",0.99,256,0.1,0.01,3.3276,0.123,28
309,[128→64],"[(128, 'relu'), (64, 'relu')]",0.995,256,0.1,0.01,3.3291,0.0839,29
310,[256],"[(256, 'relu')]",0.995,256,0.1,0.001,3.3316,0.2469,16
311,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.995,512,0.1,0.001,3.3375,0.1435,35
312,[256],"[(256, 'relu')]",0.99,512,0.1,0.001,3.3392,0.3344,19
313,[256],"[(256, 'relu')]",0.99,512,0.1,0.01,3.3396,0.3195,17
314,[128→64],"[(128, 'relu'), (64, 'relu')]",0.99,512,0.1,0.01,3.3441,0.1318,28
315,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.995,256,0.1,0.01,3.3459,0.1397,56
316,[1024],"[(1024, 'relu')]",0.97,512,0.1,0.001,3.3569,0.3386,22
317,[1024],"[(1024, 'relu')]",0.99,512,0.1,0.01,3.3656,0.3368,18
318,[256],"[(256, 'relu')]",0.995,256,0.1,0.01,3.3729,0.1826,22
319,[128→64],"[(128, 'relu'), (64, 'relu')]",0.99,256,0.1,0.001,3.3755,0.1216,32
320,[1024],"[(1024, 'relu')]",0.97,256,0.1,0.001,3.3756,0.3524,28
321,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.97,64,0.1,0.1,3.3769,0.0337,23
322,[256],"[(256, 'relu')]",0.99,256,0.1,0.001,3.3791,0.195,27
323,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,512,0.1,0.01,3.3849,0.2917,56
324,[256→64],"[(256, 'relu'), (64, 'relu')]",0.995,256,0.1,0.01,3.3867,0.0892,49
325,[512→128],"[(512, 'relu'), (128, 'relu')]",0.99,256,0.1,0.001,3.3867,0.135,48
326,[512→128],"[(512, 'relu'), (128, 'relu')]",0.995,256,0.1,0.001,3.3888,0.1284,24
327,[256→64],"[(256, 'relu'), (64, 'relu')]",0.995,512,0.1,0.01,3.3934,0.1307,30
328,[512],"[(512, 'relu')]",0.99,256,0.1,0.01,3.3934,0.2521,16
329,[128→64],"[(128, 'relu'), (64, 'relu')]",0.97,256,0.1,0.001,3.3934,0.0791,36
330,[256],"[(256, 'relu')]",0.97,64,0.1,0.1,3.4003,0.0735,12
331,[512→128],"[(512, 'relu'), (128, 'relu')]",0.97,512,0.1,0.001,3.4026,0.1017,23
332,[512→128],"[(512, 'relu'), (128, 'relu')]",0.995,256,0.1,0.01,3.4076,0.144,21
333,[512→128],"[(512, 'relu'), (128, 'relu')]",0.995,512,0.1,0.01,3.4123,0.1049,47
334,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,512,0.1,0.001,3.4218,0.134,19
335,[128],"[(128, 'relu')]",0.995,512,0.1,0.01,3.4255,0.2433,19
336,[128],"[(128, 'relu')]",0.97,64,0.1,0.1,3.4299,0.1008,22
337,[128],"[(128, 'relu')]",0.97,256,0.1,0.001,3.4353,0.2934,20
338,[256→64],"[(256, 'relu'), (64, 'relu')]",0.99,512,0.1,0.01,3.4358,0.1091,30
339,[256→64],"[(256, 'relu'), (64, 'relu')]",0.995,512,0.1,0.001,3.4373,0.1045,32
340,[128],"[(128, 'relu')]",0.995,256,0.1,0.001,3.4414,0.2235,26
341,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.995,256,0.1,0.001,3.4455,0.0753,35
342,[1024],"[(1024, 'relu')]",0.995,256,0.1,0.01,3.4458,0.2788,20
343,[512],"[(512, 'relu')]",0.995,512,0.1,0.001,3.4642,0.3449,19
344,[512→128],"[(512, 'relu'), (128, 'relu')]",0.995,512,0.1,0.001,3.4662,0.0876,45
345,[256],"[(256, 'relu')]",0.97,256,0.1,0.001,3.4666,0.2897,25
346,[256→64],"[(256, 'relu'), (64, 'relu')]",0.99,64,0.1,0.1,3.4707,0.0303,41
347,[128→64],"[(128, 'relu'), (64, 'relu')]",0.97,512,0.1,0.01,3.4761,0.0689,52
348,[512],"[(512, 'relu')]",0.97,256,0.1,0.001,3.4781,0.292,28
349,[512→128],"[(512, 'relu'), (128, 'relu')]",0.99,64,0.1,0.1,3.4821,0.0181,32
350,[512],"[(512, 'relu')]",0.995,256,0.1,0.01,3.4822,0.2921,26
351,[128→64],"[(128, 'relu'), (64, 'relu')]",0.995,256,0.1,0.001,3.4833,0.1032,27
352,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.97,256,0.1,0.01,3.4949,0.1513,26
353,[1024],"[(1024, 'relu')]",0.995,512,0.1,0.001,3.4998,0.3372,15
354,[512→128],"[(512, 'relu'), (128, 'relu')]",0.99,512,0.1,0.01,3.5114,0.0994,28
355,[256→64],"[(256, 'relu'), (64, 'relu')]",0.995,64,0.1,0.1,3.5149,0.0366,29
356,[128],"[(128, 'relu')]",0.995,512,0.1,0.001,3.5207,0.2691,19
357,[128→64],"[(128, 'relu'), (64, 'relu')]",0.99,64,0.1,0.01,3.5224,0.0409,36
358,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,64,0.1,0.001,3.5478,0.0478,20
359,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.97,256,0.1,0.001,3.5486,0.1621,19
