,layers,layers_config,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
71,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.9,512,0.01,0.25,1.3765,0.6795,26
72,[512→128],"[(512, 'relu'), (128, 'relu')]",0.975,64,0.01,0.25,1.3769,0.7133,52
73,[1024],"[(1024, 'relu')]",0.9,512,0.01,0.1,1.3772,0.6873,19
74,[512],"[(512, 'relu')]",0.9,512,0.01,0.25,1.3783,0.6693,18
75,[512],"[(512, 'relu')]",0.96,512,0.01,0.25,1.3797,0.679,17
76,[256],"[(256, 'relu')]",0.95,64,0.01,0.15,1.3807,0.6804,35
77,[1024],"[(1024, 'relu')]",0.96,256,0.01,0.1,1.3812,0.6875,14
78,[1024],"[(1024, 'relu')]",0.95,256,0.01,0.1,1.3815,0.694,14
79,[256],"[(256, 'relu')]",0.975,256,0.01,0.25,1.3821,0.6719,43
80,[256],"[(256, 'relu')]",0.9,64,0.01,0.15,1.3838,0.6786,29
81,[512],"[(512, 'relu')]",0.95,256,0.01,0.2,1.3846,0.6875,18
82,[256],"[(256, 'relu')]",0.975,64,0.01,0.1,1.3846,0.6951,38
83,[256],"[(256, 'relu')]",0.96,256,0.01,0.25,1.3852,0.674,41
84,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.96,64,0.01,0.15,1.3892,0.6932,32
85,[512],"[(512, 'relu')]",0.9,512,0.01,0.2,1.3931,0.6695,18
86,[1024],"[(1024, 'relu')]",0.95,512,0.01,0.1,1.3938,0.6851,17
87,[512→128],"[(512, 'relu'), (128, 'relu')]",0.95,64,0.01,0.2,1.3961,0.6893,32
88,[512],"[(512, 'relu')]",0.975,256,0.01,0.15,1.3963,0.6913,14
89,[512],"[(512, 'relu')]",0.95,512,0.01,0.2,1.402,0.6979,19
90,[1024],"[(1024, 'relu')]",0.975,256,0.01,0.1,1.4035,0.6916,14
91,[1024],"[(1024, 'relu')]",0.96,512,0.01,0.2,1.405,0.6877,16
92,[1024],"[(1024, 'relu')]",0.96,256,0.01,0.15,1.405,0.693,15
93,[512],"[(512, 'relu')]",0.96,256,0.01,0.2,1.4057,0.6749,17
94,[1024],"[(1024, 'relu')]",0.95,256,0.01,0.15,1.4066,0.6929,16
95,[512→128],"[(512, 'relu'), (128, 'relu')]",0.96,64,0.01,0.2,1.4085,0.6896,43
96,[512→128],"[(512, 'relu'), (128, 'relu')]",0.96,64,0.01,0.25,1.4085,0.6921,32
97,[512],"[(512, 'relu')]",0.95,512,0.01,0.25,1.412,0.6681,18
98,[256],"[(256, 'relu')]",0.96,256,0.01,0.2,1.4162,0.6787,39
99,[256],"[(256, 'relu')]",0.96,64,0.01,0.1,1.4165,0.7013,32
100,[512→128],"[(512, 'relu'), (128, 'relu')]",0.9,512,0.01,0.2,1.4166,0.6793,19
101,[1024],"[(1024, 'relu')]",0.96,512,0.01,0.15,1.4171,0.6993,16
102,[128],"[(128, 'relu')]",0.9,64,0.01,0.25,1.4171,0.6578,18
103,[512],"[(512, 'relu')]",0.975,512,0.01,0.25,1.4178,0.6901,17
104,[512],"[(512, 'relu')]",0.96,256,0.01,0.1,1.4189,0.6937,15
105,[512→128],"[(512, 'relu'), (128, 'relu')]",0.9,64,0.01,0.2,1.4217,0.6653,23
106,[1024],"[(1024, 'relu')]",0.975,512,0.01,0.1,1.4221,0.6904,16
107,[256],"[(256, 'relu')]",0.9,256,0.01,0.15,1.4238,0.6663,19
108,[256],"[(256, 'relu')]",0.975,64,0.01,0.15,1.4242,0.6815,32
109,[512],"[(512, 'relu')]",0.9,512,0.01,0.15,1.4279,0.6765,18
110,[512],"[(512, 'relu')]",0.95,512,0.01,0.15,1.4307,0.6898,16
111,[128],"[(128, 'relu')]",0.95,64,0.01,0.25,1.4309,0.6782,24
112,[512],"[(512, 'relu')]",0.9,512,0.01,0.1,1.4326,0.6567,19
113,[512],"[(512, 'relu')]",0.9,256,0.01,0.1,1.4343,0.6695,14
114,[512],"[(512, 'relu')]",0.96,512,0.01,0.2,1.4355,0.6653,17
115,[256],"[(256, 'relu')]",0.9,64,0.01,0.1,1.4367,0.6791,16
116,[256],"[(256, 'relu')]",0.975,512,0.01,0.25,1.4368,0.6659,22
117,[256],"[(256, 'relu')]",0.9,256,0.01,0.25,1.4396,0.663,17
118,[512→128],"[(512, 'relu'), (128, 'relu')]",0.975,256,0.01,0.25,1.4424,0.6703,38
119,[256],"[(256, 'relu')]",0.9,512,0.01,0.2,1.4431,0.658,20
120,[256],"[(256, 'relu')]",0.9,512,0.01,0.25,1.4452,0.6527,24
121,[512],"[(512, 'relu')]",0.96,512,0.01,0.15,1.4455,0.6791,17
122,[256],"[(256, 'relu')]",0.95,256,0.01,0.2,1.4474,0.6795,20
123,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.96,64,0.01,0.25,1.4494,0.6881,44
124,[256],"[(256, 'relu')]",0.96,256,0.01,0.15,1.4511,0.6802,15
125,[1024],"[(1024, 'relu')]",0.96,512,0.01,0.1,1.4516,0.6815,16
126,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.9,512,0.01,0.1,1.453,0.6594,23
127,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.96,256,0.01,0.25,1.4543,0.6932,15
128,[512→128],"[(512, 'relu'), (128, 'relu')]",0.95,64,0.01,0.1,1.4575,0.6933,35
129,[256→64],"[(256, 'relu'), (64, 'relu')]",0.95,64,0.01,0.25,1.4619,0.665,29
130,[256],"[(256, 'relu')]",0.96,512,0.01,0.25,1.4622,0.6715,19
131,[1024],"[(1024, 'relu')]",0.96,64,0.01,0.2,1.4674,0.6609,24
132,[512→128],"[(512, 'relu'), (128, 'relu')]",0.95,256,0.01,0.25,1.468,0.6821,16
133,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.9,512,0.01,0.15,1.4685,0.6582,21
134,[512→128],"[(512, 'relu'), (128, 'relu')]",0.9,512,0.01,0.25,1.4696,0.659,25
135,[256],"[(256, 'relu')]",0.95,512,0.01,0.25,1.4704,0.6524,19
136,[256],"[(256, 'relu')]",0.9,512,0.01,0.1,1.471,0.6674,23
137,[512],"[(512, 'relu')]",0.95,256,0.01,0.1,1.4722,0.6653,14
138,[256],"[(256, 'relu')]",0.95,256,0.01,0.25,1.4732,0.6729,16
139,[1024],"[(1024, 'relu')]",0.975,512,0.01,0.15,1.4733,0.6827,16
140,[128],"[(128, 'relu')]",0.96,64,0.01,0.2,1.4759,0.6703,26
141,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.9,512,0.01,0.2,1.4771,0.6501,22
142,[256],"[(256, 'relu')]",0.975,256,0.01,0.15,1.4805,0.6723,15
143,[256],"[(256, 'relu')]",0.9,256,0.01,0.2,1.4812,0.67,17
144,[512],"[(512, 'relu')]",0.975,256,0.01,0.1,1.4818,0.713,14
145,[512],"[(512, 'relu')]",0.975,512,0.01,0.2,1.4819,0.6789,16
146,[256],"[(256, 'relu')]",0.975,64,0.01,0.25,1.482,0.6601,29
147,[128→64],"[(128, 'relu'), (64, 'relu')]",0.9,64,0.01,0.25,1.4825,0.6574,17
148,[256],"[(256, 'relu')]",0.95,64,0.01,0.1,1.4826,0.6665,35
149,[512→128],"[(512, 'relu'), (128, 'relu')]",0.975,512,0.01,0.25,1.4836,0.6704,21
150,[128],"[(128, 'relu')]",0.96,64,0.01,0.25,1.4838,0.6492,38
151,[128],"[(128, 'relu')]",0.975,64,0.01,0.25,1.4852,0.6572,41
152,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.96,64,0.01,0.2,1.4945,0.6762,32
153,[256],"[(256, 'relu')]",0.9,256,0.01,0.1,1.4947,0.6604,15
154,[512→128],"[(512, 'relu'), (128, 'relu')]",0.96,256,0.01,0.25,1.4948,0.693,37
155,[1024],"[(1024, 'relu')]",0.975,64,0.01,0.15,1.4951,0.687,30
156,[128],"[(128, 'relu')]",0.9,64,0.01,0.2,1.499,0.6508,21
157,[128],"[(128, 'relu')]",0.9,512,0.01,0.25,1.5012,0.6474,24
158,[512→128],"[(512, 'relu'), (128, 'relu')]",0.95,512,0.01,0.25,1.5019,0.668,18
159,[256],"[(256, 'relu')]",0.96,512,0.01,0.2,1.5036,0.6744,20
160,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.975,64,0.01,0.2,1.5067,0.6571,30
161,[256],"[(256, 'relu')]",0.975,256,0.01,0.2,1.5077,0.667,15
162,[128→64],"[(128, 'relu'), (64, 'relu')]",0.95,64,0.01,0.25,1.5082,0.6684,29
163,[256→64],"[(256, 'relu'), (64, 'relu')]",0.95,64,0.01,0.2,1.5085,0.6614,30
164,[512→128],"[(512, 'relu'), (128, 'relu')]",0.95,256,0.01,0.2,1.5097,0.6778,17
165,[512→128],"[(512, 'relu'), (128, 'relu')]",0.95,64,0.01,0.15,1.5098,0.6848,27
166,[256],"[(256, 'relu')]",0.975,512,0.01,0.2,1.5117,0.6615,18
167,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.96,256,0.01,0.2,1.5121,0.6651,22
168,[512],"[(512, 'relu')]",0.975,512,0.01,0.1,1.5132,0.6931,16
169,[512→128],"[(512, 'relu'), (128, 'relu')]",0.95,64,0.01,0.25,1.5141,0.6797,32
170,[128],"[(128, 'relu')]",0.95,64,0.01,0.2,1.5143,0.6452,21
171,[256],"[(256, 'relu')]",0.9,512,0.01,0.15,1.5146,0.6511,21
172,[512→128],"[(512, 'relu'), (128, 'relu')]",0.96,512,0.01,0.25,1.5165,0.6748,21
173,[512→128],"[(512, 'relu'), (128, 'relu')]",0.9,256,0.01,0.25,1.5177,0.6661,18
174,[512],"[(512, 'relu')]",0.95,512,0.01,0.1,1.5192,0.6672,18
175,[512→128],"[(512, 'relu'), (128, 'relu')]",0.9,512,0.01,0.15,1.5195,0.6474,20
176,[512],"[(512, 'relu')]",0.975,512,0.01,0.15,1.5211,0.6752,19
177,[128],"[(128, 'relu')]",0.9,64,0.01,0.15,1.522,0.6509,18
178,[128],"[(128, 'relu')]",0.975,256,0.01,0.25,1.5229,0.6487,17
179,[128],"[(128, 'relu')]",0.975,64,0.01,0.2,1.5231,0.6618,15
180,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.975,64,0.01,0.15,1.5233,0.6798,32
181,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.9,64,0.01,0.15,1.5234,0.6885,17
182,[256],"[(256, 'relu')]",0.95,512,0.01,0.15,1.524,0.6529,18
183,[256],"[(256, 'relu')]",0.95,512,0.01,0.1,1.525,0.6639,21
184,[512→128],"[(512, 'relu'), (128, 'relu')]",0.9,512,0.01,0.1,1.5261,0.6575,19
185,[128],"[(128, 'relu')]",0.9,512,0.01,0.2,1.5278,0.6471,19
186,[256→64],"[(256, 'relu'), (64, 'relu')]",0.96,64,0.01,0.25,1.5285,0.6446,34
187,[256],"[(256, 'relu')]",0.95,512,0.01,0.2,1.5292,0.6508,20
188,[256],"[(256, 'relu')]",0.975,256,0.01,0.1,1.5302,0.6693,17
189,[128→64],"[(128, 'relu'), (64, 'relu')]",0.9,64,0.01,0.2,1.5305,0.6356,21
190,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.95,64,0.01,0.15,1.5325,0.6815,34
191,[512→128],"[(512, 'relu'), (128, 'relu')]",0.96,512,0.01,0.15,1.5339,0.6633,19
192,[256],"[(256, 'relu')]",0.96,512,0.01,0.15,1.5358,0.6601,18
193,[512→128],"[(512, 'relu'), (128, 'relu')]",0.96,512,0.01,0.2,1.5361,0.6692,20
194,[512],"[(512, 'relu')]",0.96,512,0.01,0.1,1.5392,0.667,18
195,[256→64],"[(256, 'relu'), (64, 'relu')]",0.9,64,0.01,0.25,1.5393,0.6512,26
196,[512→128],"[(512, 'relu'), (128, 'relu')]",0.95,256,0.01,0.15,1.5394,0.6685,16
197,[128],"[(128, 'relu')]",0.975,64,0.01,0.15,1.5397,0.6735,29
198,[128],"[(128, 'relu')]",0.9,512,0.01,0.15,1.541,0.6341,23
199,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.95,256,0.01,0.2,1.5466,0.6638,16
200,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.95,256,0.01,0.25,1.5476,0.6593,18
201,[256→64],"[(256, 'relu'), (64, 'relu')]",0.9,512,0.01,0.25,1.5488,0.6211,31
202,[128],"[(128, 'relu')]",0.9,256,0.01,0.25,1.5516,0.6303,19
203,[512],"[(512, 'relu')]",0.975,64,0.01,0.15,1.5517,0.6809,29
204,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.95,64,0.01,0.1,1.5529,0.6817,39
205,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.975,256,0.01,0.2,1.5555,0.6737,18
206,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.95,512,0.01,0.25,1.5556,0.6523,21
207,[512→128],"[(512, 'relu'), (128, 'relu')]",0.9,256,0.01,0.2,1.5566,0.6564,17
208,[512→128],"[(512, 'relu'), (128, 'relu')]",0.975,64,0.01,0.2,1.5579,0.6689,30
209,[128],"[(128, 'relu')]",0.95,512,0.01,0.1,1.5585,0.6393,18
210,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.975,64,0.01,0.25,1.5587,0.6733,43
211,[256→64],"[(256, 'relu'), (64, 'relu')]",0.9,512,0.01,0.1,1.5592,0.6414,24
212,[128→64],"[(128, 'relu'), (64, 'relu')]",0.96,64,0.01,0.25,1.5608,0.6493,42
213,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.9,256,0.01,0.25,1.5611,0.6376,18
214,[256],"[(256, 'relu')]",0.95,256,0.01,0.15,1.5614,0.6556,15
215,[128],"[(128, 'relu')]",0.95,64,0.01,0.15,1.564,0.6652,31
216,[128],"[(128, 'relu')]",0.95,256,0.01,0.25,1.5686,0.6376,18
217,[256→64],"[(256, 'relu'), (64, 'relu')]",0.9,256,0.01,0.2,1.5694,0.6488,20
218,[256],"[(256, 'relu')]",0.96,512,0.01,0.1,1.5712,0.6728,20
219,[128],"[(128, 'relu')]",0.9,256,0.01,0.15,1.5721,0.6229,17
220,[128],"[(128, 'relu')]",0.96,64,0.01,0.15,1.5721,0.6543,33
221,[256],"[(256, 'relu')]",0.975,512,0.01,0.15,1.5724,0.6449,15
222,[512→128],"[(512, 'relu'), (128, 'relu')]",0.975,256,0.01,0.2,1.5729,0.6882,17
223,[512→128],"[(512, 'relu'), (128, 'relu')]",0.9,256,0.01,0.1,1.5739,0.6682,17
224,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.9,256,0.01,0.2,1.5741,0.6383,18
225,[512→128],"[(512, 'relu'), (128, 'relu')]",0.9,64,0.01,0.1,1.5746,0.6838,17
226,[128],"[(128, 'relu')]",0.9,64,0.01,0.1,1.5762,0.658,15
227,[512→128],"[(512, 'relu'), (128, 'relu')]",0.95,512,0.01,0.15,1.5768,0.6514,22
228,[256],"[(256, 'relu')]",0.96,256,0.01,0.1,1.5774,0.6483,14
229,[256→64],"[(256, 'relu'), (64, 'relu')]",0.95,256,0.01,0.25,1.5775,0.6604,16
230,[128→64],"[(128, 'relu'), (64, 'relu')]",0.975,64,0.01,0.25,1.5792,0.6465,32
231,[256→64],"[(256, 'relu'), (64, 'relu')]",0.9,512,0.01,0.2,1.58,0.6413,23
232,[128→64],"[(128, 'relu'), (64, 'relu')]",0.9,512,0.01,0.2,1.5801,0.6296,29
233,[512→128],"[(512, 'relu'), (128, 'relu')]",0.96,64,0.01,0.1,1.5816,0.6881,39
234,[128],"[(128, 'relu')]",0.95,256,0.01,0.2,1.5857,0.6363,19
235,[512→128],"[(512, 'relu'), (128, 'relu')]",0.975,64,0.01,0.15,1.5862,0.6659,38
236,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.95,512,0.01,0.15,1.5863,0.6635,19
237,[512→128],"[(512, 'relu'), (128, 'relu')]",0.96,256,0.01,0.15,1.5863,0.6711,16
238,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.975,512,0.01,0.2,1.5872,0.6652,21
239,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.95,512,0.01,0.2,1.5881,0.6254,21
240,[128],"[(128, 'relu')]",0.9,256,0.01,0.1,1.5897,0.6366,18
241,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.975,512,0.01,0.25,1.59,0.662,18
242,[512],"[(512, 'relu')]",0.975,64,0.01,0.2,1.5901,0.6897,35
243,[128→64],"[(128, 'relu'), (64, 'relu')]",0.95,64,0.01,0.2,1.5934,0.6419,18
244,[128→64],"[(128, 'relu'), (64, 'relu')]",0.9,512,0.01,0.15,1.5936,0.615,28
245,[128],"[(128, 'relu')]",0.95,512,0.01,0.25,1.5946,0.6307,18
246,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.96,512,0.01,0.1,1.5949,0.668,20
247,[256],"[(256, 'relu')]",0.95,256,0.01,0.1,1.595,0.6669,15
248,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.96,512,0.01,0.15,1.5974,0.662,22
249,[128],"[(128, 'relu')]",0.96,256,0.01,0.25,1.598,0.6358,16
250,[256→64],"[(256, 'relu'), (64, 'relu')]",0.95,64,0.01,0.1,1.5987,0.6635,33
251,[512→128],"[(512, 'relu'), (128, 'relu')]",0.9,256,0.01,0.15,1.5995,0.6556,17
252,[512→128],"[(512, 'relu'), (128, 'relu')]",0.96,256,0.01,0.2,1.5996,0.6579,19
253,[256→64],"[(256, 'relu'), (64, 'relu')]",0.96,64,0.01,0.2,1.6029,0.6619,36
254,[256→64],"[(256, 'relu'), (64, 'relu')]",0.96,256,0.01,0.2,1.6044,0.6631,17
255,[512→128],"[(512, 'relu'), (128, 'relu')]",0.95,512,0.01,0.2,1.6049,0.6608,19
256,[256→64],"[(256, 'relu'), (64, 'relu')]",0.9,512,0.01,0.15,1.607,0.6247,23
257,[128],"[(128, 'relu')]",0.95,512,0.01,0.2,1.6071,0.6424,22
258,[256→64],"[(256, 'relu'), (64, 'relu')]",0.95,256,0.01,0.2,1.6095,0.6452,18
259,[1024],"[(1024, 'relu')]",0.975,64,0.01,0.2,1.6099,0.6418,24
260,[128],"[(128, 'relu')]",0.975,512,0.01,0.15,1.6157,0.6199,19
261,[256→64],"[(256, 'relu'), (64, 'relu')]",0.975,256,0.01,0.2,1.6157,0.651,37
262,[256→64],"[(256, 'relu'), (64, 'relu')]",0.96,64,0.01,0.15,1.6157,0.6394,30
263,[256→64],"[(256, 'relu'), (64, 'relu')]",0.95,64,0.01,0.15,1.6166,0.6521,34
264,[128],"[(128, 'relu')]",0.975,256,0.01,0.2,1.6167,0.6423,17
265,[512→128],"[(512, 'relu'), (128, 'relu')]",0.9,64,0.01,0.15,1.6169,0.6589,14
266,[128],"[(128, 'relu')]",0.975,512,0.01,0.2,1.6173,0.6394,22
267,[128],"[(128, 'relu')]",0.96,512,0.01,0.25,1.6177,0.642,21
268,[128],"[(128, 'relu')]",0.975,512,0.01,0.25,1.6202,0.6296,21
269,[128],"[(128, 'relu')]",0.9,512,0.01,0.1,1.6214,0.6163,26
270,[128→64],"[(128, 'relu'), (64, 'relu')]",0.9,512,0.01,0.1,1.6231,0.6228,21
271,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.9,256,0.01,0.15,1.6236,0.6549,18
272,[256→64],"[(256, 'relu'), (64, 'relu')]",0.9,64,0.01,0.2,1.6256,0.6457,17
273,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.96,512,0.01,0.25,1.6272,0.6473,22
274,[128],"[(128, 'relu')]",0.95,256,0.01,0.15,1.6286,0.6306,18
275,[256],"[(256, 'relu')]",0.975,512,0.01,0.1,1.6317,0.6497,16
276,[128],"[(128, 'relu')]",0.96,256,0.01,0.2,1.6326,0.6442,19
277,[128→64],"[(128, 'relu'), (64, 'relu')]",0.96,64,0.01,0.2,1.6329,0.649,36
278,[128],"[(128, 'relu')]",0.9,256,0.01,0.2,1.6331,0.6178,16
279,[128],"[(128, 'relu')]",0.96,512,0.01,0.2,1.6333,0.6312,22
280,[512→128],"[(512, 'relu'), (128, 'relu')]",0.975,512,0.01,0.15,1.6339,0.6595,20
281,[128→64],"[(128, 'relu'), (64, 'relu')]",0.9,512,0.01,0.25,1.64,0.611,28
282,[512→128],"[(512, 'relu'), (128, 'relu')]",0.975,512,0.01,0.2,1.6411,0.6665,21
283,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.975,512,0.01,0.1,1.6418,0.6766,17
284,[256→64],"[(256, 'relu'), (64, 'relu')]",0.9,64,0.01,0.15,1.6435,0.6357,17
285,[512→128],"[(512, 'relu'), (128, 'relu')]",0.975,64,0.01,0.1,1.6462,0.6605,14
286,[512→128],"[(512, 'relu'), (128, 'relu')]",0.96,512,0.01,0.1,1.6477,0.6738,17
287,[256→64],"[(256, 'relu'), (64, 'relu')]",0.9,64,0.01,0.1,1.6529,0.6603,15
288,[128→64],"[(128, 'relu'), (64, 'relu')]",0.95,512,0.01,0.25,1.6539,0.6352,22
289,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.95,256,0.01,0.15,1.6549,0.6433,18
290,[128],"[(128, 'relu')]",0.95,512,0.01,0.15,1.6576,0.6353,24
291,[128→64],"[(128, 'relu'), (64, 'relu')]",0.96,512,0.01,0.25,1.6582,0.6202,18
292,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.975,256,0.01,0.1,1.6583,0.667,17
293,[128],"[(128, 'relu')]",0.96,256,0.01,0.15,1.6595,0.635,17
294,[128],"[(128, 'relu')]",0.95,64,0.01,0.1,1.6622,0.6421,15
295,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.9,64,0.01,0.1,1.663,0.6632,15
296,[512→128],"[(512, 'relu'), (128, 'relu')]",0.95,256,0.01,0.1,1.6658,0.6649,16
297,[512→128],"[(512, 'relu'), (128, 'relu')]",0.96,64,0.01,0.15,1.666,0.6713,29
298,[512→128],"[(512, 'relu'), (128, 'relu')]",0.975,256,0.01,0.1,1.668,0.6729,15
299,[256→64],"[(256, 'relu'), (64, 'relu')]",0.96,64,0.01,0.1,1.6691,0.6585,13
300,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.96,512,0.01,0.2,1.6708,0.651,20
301,[256→64],"[(256, 'relu'), (64, 'relu')]",0.95,512,0.01,0.15,1.6708,0.6391,20
302,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.9,256,0.01,0.1,1.6739,0.6637,18
303,[512→128],"[(512, 'relu'), (128, 'relu')]",0.975,256,0.01,0.15,1.6753,0.6522,15
304,[128],"[(128, 'relu')]",0.975,512,0.01,0.1,1.6796,0.6463,18
305,[128],"[(128, 'relu')]",0.96,512,0.01,0.1,1.6798,0.6224,18
306,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.96,64,0.01,0.1,1.6836,0.6547,15
307,[128→64],"[(128, 'relu'), (64, 'relu')]",0.975,512,0.01,0.25,1.6845,0.6235,18
308,[128],"[(128, 'relu')]",0.96,512,0.01,0.15,1.6855,0.6001,20
309,[128→64],"[(128, 'relu'), (64, 'relu')]",0.95,64,0.01,0.15,1.6861,0.6325,15
310,[128],"[(128, 'relu')]",0.95,256,0.01,0.1,1.6876,0.6332,17
311,[256→64],"[(256, 'relu'), (64, 'relu')]",0.9,256,0.01,0.1,1.6883,0.6437,17
312,[256→64],"[(256, 'relu'), (64, 'relu')]",0.975,512,0.01,0.1,1.6886,0.6434,20
313,[256→64],"[(256, 'relu'), (64, 'relu')]",0.975,512,0.01,0.25,1.6896,0.6285,21
314,[128→64],"[(128, 'relu'), (64, 'relu')]",0.9,256,0.01,0.25,1.6897,0.6147,19
315,[128],"[(128, 'relu')]",0.975,256,0.01,0.1,1.6898,0.6318,15
316,[128→64],"[(128, 'relu'), (64, 'relu')]",0.9,64,0.01,0.1,1.6905,0.6515,16
317,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.975,512,0.01,0.15,1.6929,0.6582,22
318,[256→64],"[(256, 'relu'), (64, 'relu')]",0.95,512,0.01,0.25,1.697,0.6383,20
319,[128→64],"[(128, 'relu'), (64, 'relu')]",0.975,64,0.01,0.2,1.7029,0.6299,16
320,[256→64],"[(256, 'relu'), (64, 'relu')]",0.9,256,0.01,0.25,1.705,0.6244,21
321,[256→64],"[(256, 'relu'), (64, 'relu')]",0.96,512,0.01,0.2,1.705,0.6342,24
322,[256→64],"[(256, 'relu'), (64, 'relu')]",0.96,512,0.01,0.25,1.7066,0.6205,22
323,[128],"[(128, 'relu')]",0.96,256,0.01,0.1,1.7089,0.625,18
324,[128],"[(128, 'relu')]",0.975,64,0.01,0.1,1.7091,0.6436,14
325,[128→64],"[(128, 'relu'), (64, 'relu')]",0.96,256,0.01,0.25,1.7104,0.6462,20
326,[256→64],"[(256, 'relu'), (64, 'relu')]",0.975,64,0.01,0.25,1.7119,0.6246,41
327,[512→128],"[(512, 'relu'), (128, 'relu')]",0.975,512,0.01,0.1,1.7136,0.6578,16
328,[128→64],"[(128, 'relu'), (64, 'relu')]",0.95,256,0.01,0.25,1.7145,0.6419,21
329,[128→64],"[(128, 'relu'), (64, 'relu')]",0.9,256,0.01,0.2,1.716,0.6338,18
330,[128],"[(128, 'relu')]",0.96,64,0.01,0.1,1.7168,0.6256,13
331,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.95,512,0.01,0.1,1.7176,0.6339,22
332,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.95,256,0.01,0.1,1.7198,0.6617,18
333,[512→128],"[(512, 'relu'), (128, 'relu')]",0.95,512,0.01,0.1,1.7203,0.6619,19
334,[256→64],"[(256, 'relu'), (64, 'relu')]",0.975,256,0.01,0.25,1.7214,0.6301,16
335,[256→64],"[(256, 'relu'), (64, 'relu')]",0.95,512,0.01,0.1,1.7232,0.6518,22
336,[256→64],"[(256, 'relu'), (64, 'relu')]",0.96,256,0.01,0.25,1.7233,0.6232,17
337,[128→64],"[(128, 'relu'), (64, 'relu')]",0.975,256,0.01,0.2,1.7255,0.6349,17
338,[128],"[(128, 'relu')]",0.975,256,0.01,0.15,1.7267,0.6378,17
339,[256→64],"[(256, 'relu'), (64, 'relu')]",0.95,512,0.01,0.2,1.7267,0.6191,21
340,[128→64],"[(128, 'relu'), (64, 'relu')]",0.9,256,0.01,0.15,1.729,0.6206,17
341,[256→64],"[(256, 'relu'), (64, 'relu')]",0.975,64,0.01,0.2,1.73,0.662,31
342,[128→64],"[(128, 'relu'), (64, 'relu')]",0.9,256,0.01,0.1,1.7324,0.64,17
343,[256→64],"[(256, 'relu'), (64, 'relu')]",0.975,512,0.01,0.2,1.7356,0.633,18
344,[128→64],"[(128, 'relu'), (64, 'relu')]",0.96,512,0.01,0.2,1.7397,0.612,23
345,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.96,256,0.01,0.15,1.7431,0.6439,18
346,[128→64],"[(128, 'relu'), (64, 'relu')]",0.9,64,0.01,0.15,1.744,0.6474,17
347,[256→64],"[(256, 'relu'), (64, 'relu')]",0.975,64,0.01,0.1,1.7465,0.6667,15
348,[512→128],"[(512, 'relu'), (128, 'relu')]",0.96,256,0.01,0.1,1.7485,0.6541,16
349,[256→64],"[(256, 'relu'), (64, 'relu')]",0.975,256,0.01,0.15,1.7519,0.637,16
350,[128→64],"[(128, 'relu'), (64, 'relu')]",0.95,512,0.01,0.2,1.7581,0.6132,21
351,[256→64],"[(256, 'relu'), (64, 'relu')]",0.96,512,0.01,0.1,1.7583,0.6071,19
352,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.975,256,0.01,0.15,1.7641,0.6529,18
353,[128→64],"[(128, 'relu'), (64, 'relu')]",0.975,64,0.01,0.15,1.7665,0.6332,16
