,layers,layers_config,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
636,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.9,256,0.1,0.15,2.6885,0.4427,32
637,[128],"[(128, 'relu')]",0.975,512,0.1,0.2,2.6895,0.4862,45
638,[256→64],"[(256, 'relu'), (64, 'relu')]",0.975,256,0.1,0.15,2.6915,0.3999,58
639,[512],"[(512, 'relu')]",0.9,256,0.1,0.1,2.6941,0.4477,21
640,[128],"[(128, 'relu')]",0.9,64,0.1,0.15,2.7105,0.3044,38
641,[128→64],"[(128, 'relu'), (64, 'relu')]",0.975,256,0.1,0.1,2.7136,0.3168,36
642,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.95,512,0.1,0.15,2.7138,0.449,36
643,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.975,64,0.1,0.2,2.7139,0.2244,71
644,[512],"[(512, 'relu')]",0.975,64,0.1,0.25,2.7176,0.254,46
645,[128→64],"[(128, 'relu'), (64, 'relu')]",0.95,256,0.1,0.1,2.7251,0.3579,31
646,[512→128],"[(512, 'relu'), (128, 'relu')]",0.95,512,0.1,0.15,2.7262,0.3247,55
647,[512→128],"[(512, 'relu'), (128, 'relu')]",0.96,64,0.1,0.1,2.7282,0.2926,72
648,[128→64],"[(128, 'relu'), (64, 'relu')]",0.96,64,0.1,0.25,2.735,0.2334,100
649,[128],"[(128, 'relu')]",0.96,512,0.1,0.1,2.736,0.4334,27
650,[256],"[(256, 'relu')]",0.96,64,0.1,0.25,2.7387,0.2278,73
651,[128→64],"[(128, 'relu'), (64, 'relu')]",0.95,512,0.1,0.1,2.741,0.3764,41
652,[128→64],"[(128, 'relu'), (64, 'relu')]",0.95,256,0.1,0.25,2.7445,0.2713,61
653,[256→64],"[(256, 'relu'), (64, 'relu')]",0.96,256,0.1,0.1,2.7473,0.4101,46
654,[512→128],"[(512, 'relu'), (128, 'relu')]",0.96,512,0.1,0.1,2.7545,0.352,26
655,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.96,256,0.1,0.1,2.755,0.34,41
656,[1024],"[(1024, 'relu')]",0.975,512,0.1,0.1,2.7558,0.4886,36
657,[512→128],"[(512, 'relu'), (128, 'relu')]",0.975,256,0.1,0.15,2.7569,0.3311,71
658,[128],"[(128, 'relu')]",0.96,64,0.1,0.1,2.7575,0.2748,56
659,[128],"[(128, 'relu')]",0.95,512,0.1,0.1,2.7593,0.4094,26
660,[256],"[(256, 'relu')]",0.95,256,0.1,0.1,2.766,0.4287,27
661,[128],"[(128, 'relu')]",0.95,64,0.1,0.1,2.7669,0.3002,50
662,[512],"[(512, 'relu')]",0.975,64,0.1,0.2,2.7679,0.2104,69
663,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.975,256,0.1,0.1,2.7702,0.3359,56
664,[512→128],"[(512, 'relu'), (128, 'relu')]",0.9,512,0.1,0.15,2.7752,0.308,36
665,[256→64],"[(256, 'relu'), (64, 'relu')]",0.95,256,0.1,0.1,2.7774,0.3934,40
666,[128],"[(128, 'relu')]",0.975,64,0.1,0.15,2.7788,0.2788,63
667,[256],"[(256, 'relu')]",0.96,64,0.1,0.1,2.7827,0.3133,72
668,[256→64],"[(256, 'relu'), (64, 'relu')]",0.9,512,0.1,0.1,2.7888,0.3437,41
669,[256],"[(256, 'relu')]",0.95,512,0.1,0.1,2.7902,0.4269,27
670,[512→128],"[(512, 'relu'), (128, 'relu')]",0.9,256,0.1,0.1,2.7922,0.3576,35
671,[256],"[(256, 'relu')]",0.96,256,0.1,0.1,2.7948,0.4029,34
672,[128],"[(128, 'relu')]",0.975,64,0.1,0.2,2.7964,0.2118,73
673,[512→128],"[(512, 'relu'), (128, 'relu')]",0.9,512,0.1,0.2,2.7969,0.2945,80
674,[256→64],"[(256, 'relu'), (64, 'relu')]",0.975,256,0.1,0.2,2.798,0.2129,45
675,[256→64],"[(256, 'relu'), (64, 'relu')]",0.9,64,0.1,0.1,2.8001,0.3075,36
676,[128→64],"[(128, 'relu'), (64, 'relu')]",0.975,512,0.1,0.1,2.8007,0.3457,56
677,[128→64],"[(128, 'relu'), (64, 'relu')]",0.96,512,0.1,0.15,2.8049,0.3723,48
678,[512→128],"[(512, 'relu'), (128, 'relu')]",0.9,512,0.1,0.1,2.806,0.3156,31
679,[1024],"[(1024, 'relu')]",0.975,64,0.1,0.1,2.8076,0.2516,50
680,[256],"[(256, 'relu')]",0.95,64,0.1,0.15,2.8078,0.2201,53
681,[1024],"[(1024, 'relu')]",0.9,512,0.1,0.1,2.8093,0.4736,26
682,[256→64],"[(256, 'relu'), (64, 'relu')]",0.96,64,0.1,0.15,2.8101,0.2125,66
683,[256→64],"[(256, 'relu'), (64, 'relu')]",0.9,256,0.1,0.1,2.8116,0.35,24
