,layers,layers_config,dropout,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
783,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.5,0.95,258,0.01,0.1,1.5538,0.6027,44
784,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.5,0.9,512,0.01,0.1,1.5548,0.6158,55
785,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.1,0.95,512,0.01,0.25,1.5556,0.641,19
786,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.5,0.9,512,0.01,0.2,1.5561,0.6056,57
787,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.3,0.9,258,0.01,0.15,1.5567,0.6535,31
788,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.1,0.95,258,0.01,0.2,1.5569,0.6738,17
789,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.5,0.975,512,0.01,0.15,1.5569,0.631,47
790,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.5,0.95,258,0.01,0.15,1.5569,0.6039,52
791,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.1,0.95,512,0.01,0.1,1.5571,0.6719,20
792,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.3,0.96,512,0.01,0.15,1.5575,0.6679,49
793,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.3,0.96,512,0.01,0.15,1.5576,0.6311,28
794,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.1,0.975,512,0.01,0.2,1.5582,0.6386,23
795,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.5,0.975,258,0.01,0.1,1.5593,0.5759,28
796,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.3,0.9,258,0.01,0.15,1.5595,0.6509,27
797,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.3,0.975,258,0.01,0.2,1.5599,0.6617,48
798,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.1,0.95,512,0.01,0.25,1.5603,0.6614,27
799,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.3,0.975,258,0.01,0.25,1.5621,0.6492,47
800,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.1,0.9,512,0.01,0.25,1.5626,0.6432,26
801,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.3,0.95,258,0.01,0.1,1.5629,0.6375,27
802,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.5,0.9,258,0.01,0.2,1.5635,0.6116,42
803,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.1,0.96,512,0.01,0.25,1.564,0.6362,24
804,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.1,0.9,258,0.01,0.25,1.5644,0.6429,21
805,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.1,0.96,258,0.01,0.25,1.5647,0.6463,21
806,[512],"[(512, 'silu')]",0.1,0.96,512,0.01,0.15,1.5648,0.6664,17
807,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.1,0.9,512,0.01,0.2,1.5659,0.6576,21
808,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.3,0.975,512,0.01,0.15,1.5672,0.6348,28
809,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.5,0.975,512,0.01,0.25,1.5677,0.6211,92
810,[1024],"[(1024, 'gelu')]",0.3,0.96,258,0.01,0.15,1.5678,0.661,15
811,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.5,0.9,258,0.01,0.15,1.5679,0.6283,80
812,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.3,0.9,258,0.01,0.1,1.5688,0.6407,22
813,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.1,0.96,512,0.01,0.1,1.5699,0.6617,18
814,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.1,0.95,258,0.01,0.25,1.5703,0.6624,17
815,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.1,0.96,512,0.01,0.1,1.5704,0.6592,16
816,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.1,0.975,512,0.01,0.25,1.5708,0.635,22
817,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.5,0.975,512,0.01,0.15,1.5709,0.5806,43
818,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.5,0.95,258,0.01,0.15,1.571,0.6057,44
819,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.1,0.95,258,0.01,0.25,1.5733,0.6526,17
820,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.3,0.96,512,0.01,0.1,1.5742,0.6193,28
821,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.3,0.975,512,0.01,0.1,1.575,0.6306,24
822,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.1,0.96,258,0.01,0.1,1.5752,0.6484,15
823,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.5,0.9,258,0.01,0.2,1.5752,0.606,54
824,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.5,0.9,258,0.01,0.1,1.5764,0.6063,44
825,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.5,0.9,258,0.01,0.1,1.5765,0.6131,42
826,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.3,0.975,512,0.01,0.1,1.5771,0.6421,29
827,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.5,0.975,258,0.01,0.15,1.5774,0.6123,51
828,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.5,0.96,258,0.01,0.2,1.5778,0.6049,60
829,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.1,0.96,258,0.01,0.2,1.5779,0.6427,18
830,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.5,0.975,258,0.01,0.2,1.5798,0.6072,43
831,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.5,0.96,258,0.01,0.15,1.5805,0.6074,50
832,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.5,0.9,512,0.01,0.1,1.583,0.608,48
833,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.1,0.96,258,0.01,0.2,1.5832,0.6446,19
834,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.1,0.9,512,0.01,0.15,1.5834,0.6417,21
835,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.1,0.96,512,0.01,0.2,1.5841,0.6582,22
836,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.5,0.95,512,0.01,0.1,1.5843,0.5949,50
837,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.5,0.95,512,0.01,0.1,1.5852,0.6069,60
838,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.1,0.95,512,0.01,0.15,1.5859,0.6592,21
839,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.3,0.96,512,0.01,0.15,1.5875,0.6549,32
840,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.3,0.975,512,0.01,0.1,1.5915,0.6519,27
841,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.1,0.95,258,0.01,0.25,1.5919,0.6325,16
842,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.1,0.96,258,0.01,0.25,1.5932,0.635,17
843,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.5,0.96,512,0.01,0.25,1.5937,0.6268,77
844,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.1,0.96,512,0.01,0.15,1.5939,0.64,21
845,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.1,0.9,258,0.01,0.2,1.5948,0.6547,20
846,[512],"[(512, 'leaky_relu')]",0.3,0.96,258,0.01,0.1,1.595,0.6687,15
847,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.1,0.9,512,0.01,0.15,1.5953,0.6545,22
848,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.5,0.975,512,0.01,0.2,1.599,0.6193,90
849,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.1,0.9,512,0.01,0.15,1.5993,0.6445,22
850,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.3,0.95,512,0.01,0.2,1.6001,0.6313,38
851,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.1,0.9,512,0.01,0.2,1.6001,0.6491,20
852,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.1,0.96,512,0.01,0.2,1.6005,0.6742,22
853,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.1,0.9,258,0.01,0.2,1.6006,0.6706,17
854,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.5,0.975,258,0.01,0.1,1.6015,0.595,44
855,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.5,0.9,512,0.01,0.2,1.6024,0.6265,84
856,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.1,0.975,512,0.01,0.15,1.6027,0.6421,24
857,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.5,0.95,258,0.01,0.1,1.6037,0.5968,58
858,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.1,0.95,512,0.01,0.15,1.6048,0.6593,19
859,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.3,0.975,258,0.01,0.1,1.6048,0.6275,22
860,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.1,0.975,512,0.01,0.25,1.6049,0.6693,22
861,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.1,0.9,258,0.01,0.2,1.6053,0.6613,17
862,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.5,0.9,512,0.01,0.1,1.6055,0.6284,73
863,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.1,0.95,512,0.01,0.2,1.6059,0.6466,21
864,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.3,0.975,258,0.01,0.15,1.6072,0.6463,24
865,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.1,0.9,258,0.01,0.15,1.6073,0.6534,20
866,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.5,0.9,258,0.01,0.1,1.6077,0.6,67
867,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.1,0.95,512,0.01,0.1,1.6077,0.6489,18
868,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.5,0.975,512,0.01,0.15,1.6079,0.5998,98
869,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.1,0.96,258,0.01,0.1,1.6085,0.6685,18
870,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.1,0.9,258,0.01,0.2,1.6097,0.6462,17
871,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.1,0.9,512,0.01,0.25,1.6118,0.6466,20
872,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.1,0.96,512,0.01,0.25,1.6122,0.6585,21
873,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.1,0.9,512,0.01,0.15,1.6137,0.6586,19
874,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.1,0.975,512,0.01,0.2,1.6146,0.6337,19
875,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.5,0.96,512,0.01,0.1,1.6149,0.6032,47
876,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.1,0.95,258,0.01,0.15,1.6154,0.6389,15
877,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.1,0.96,258,0.01,0.25,1.6169,0.6594,16
878,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.1,0.95,512,0.01,0.1,1.6172,0.6546,18
879,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.1,0.975,512,0.01,0.1,1.6201,0.6481,18
880,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.5,0.95,258,0.01,0.15,1.6224,0.636,64
881,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.1,0.975,512,0.01,0.15,1.6257,0.6376,25
882,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.1,0.975,258,0.01,0.15,1.6258,0.6329,19
883,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.1,0.95,258,0.01,0.2,1.6277,0.6544,20
884,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.1,0.9,258,0.01,0.25,1.629,0.6604,18
885,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.1,0.9,258,0.01,0.15,1.6292,0.6475,16
886,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.5,0.95,258,0.01,0.2,1.6309,0.6335,78
887,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.3,0.96,258,0.01,0.1,1.6309,0.6351,23
888,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.1,0.9,258,0.01,0.15,1.6383,0.6417,15
889,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.3,0.975,258,0.01,0.15,1.6383,0.6223,38
