,layers,layers_config,dropout,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
31,[256],"[(256, 'leaky_relu')]",0.5,0.97,258,0.01,0.1,1.402,0.6653,25
32,[512],"[(512, 'leaky_relu')]",0.5,0.97,258,0.01,0.01,1.4044,0.6937,18
33,[256],"[(256, 'leaky_relu')]",0.3,0.97,512,0.01,0.001,1.4053,0.6702,23
34,[512],"[(512, 'silu')]",0.3,0.97,258,0.01,0.1,1.406,0.6747,15
35,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.3,0.97,512,0.01,0.1,1.407,0.6516,28
36,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.3,0.97,512,0.01,0.1,1.4075,0.6526,27
37,[512],"[(512, 'gelu')]",0.5,0.99,512,0.01,0.01,1.4094,0.6972,20
38,[512→64],"[(512, 'silu'), (64, 'gelu')]",0.5,0.97,512,0.01,0.1,1.4098,0.6204,50
39,[256],"[(256, 'leaky_relu')]",0.5,0.97,512,0.01,0.01,1.41,0.6722,25
40,[512],"[(512, 'leaky_relu')]",0.1,0.97,512,0.01,0.1,1.4132,0.6781,16
41,[256],"[(256, 'silu')]",0.3,0.97,512,0.01,0.01,1.4139,0.683,19
42,[512],"[(512, 'leaky_relu')]",0.5,0.97,258,0.01,0.001,1.4152,0.6966,18
43,[512],"[(512, 'gelu')]",0.3,0.99,512,0.01,0.1,1.4171,0.691,16
44,[512],"[(512, 'leaky_relu')]",0.5,0.97,512,0.01,0.001,1.4173,0.6728,25
45,[512],"[(512, 'gelu')]",0.5,0.97,258,0.01,0.001,1.4254,0.6951,19
46,[256],"[(256, 'leaky_relu')]",0.5,0.99,258,0.01,0.1,1.4268,0.6577,17
47,[256],"[(256, 'gelu')]",0.5,0.97,512,0.01,0.1,1.4269,0.6572,28
48,[512],"[(512, 'silu')]",0.1,0.97,258,0.01,0.1,1.4308,0.6828,15
49,[256],"[(256, 'silu')]",0.5,0.99,512,0.01,0.1,1.433,0.6801,20
50,[512→64],"[(512, 'silu'), (64, 'leaky_relu')]",0.3,0.97,512,0.01,0.1,1.4331,0.6685,27
51,[256],"[(256, 'silu')]",0.3,0.97,512,0.01,0.1,1.4333,0.6784,22
52,[512],"[(512, 'leaky_relu')]",0.5,0.99,258,0.01,0.1,1.4336,0.6758,16
53,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.5,0.97,512,0.01,0.01,1.4338,0.64,39
54,[512],"[(512, 'silu')]",0.5,0.97,258,0.01,0.01,1.4338,0.6863,16
55,[512],"[(512, 'leaky_relu')]",0.3,0.97,512,0.01,0.001,1.4355,0.6895,20
56,[512],"[(512, 'gelu')]",0.1,0.97,258,0.01,0.1,1.4372,0.6954,15
57,[256],"[(256, 'gelu')]",0.5,0.99,512,0.01,0.1,1.4373,0.6764,26
58,[256],"[(256, 'gelu')]",0.5,0.99,258,0.01,0.1,1.4373,0.6668,18
59,[512],"[(512, 'silu')]",0.3,0.99,512,0.01,0.1,1.4378,0.6843,18
60,[512],"[(512, 'gelu')]",0.5,0.97,258,0.01,0.01,1.4385,0.6855,16
61,[512],"[(512, 'gelu')]",0.5,0.97,512,0.01,0.01,1.4393,0.6797,18
62,[512],"[(512, 'leaky_relu')]",0.3,0.99,512,0.01,0.1,1.4412,0.6689,18
63,[256],"[(256, 'silu')]",0.3,0.99,258,0.01,0.1,1.4413,0.6765,16
64,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.3,0.97,258,0.01,0.1,1.4423,0.628,18
65,[256],"[(256, 'gelu')]",0.5,0.97,512,0.01,0.01,1.4435,0.6597,23
66,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.3,0.97,512,0.01,0.01,1.4449,0.6601,27
67,[256],"[(256, 'silu')]",0.5,0.97,512,0.01,0.001,1.4457,0.674,22
68,[512],"[(512, 'silu')]",0.5,0.97,258,0.01,0.001,1.448,0.6818,17
69,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.3,0.99,512,0.01,0.1,1.4483,0.6406,24
70,[512],"[(512, 'gelu')]",0.1,0.97,258,0.01,0.01,1.4489,0.6947,15
71,[512],"[(512, 'silu')]",0.5,0.99,512,0.01,0.001,1.4503,0.6857,17
72,[256→64],"[(256, 'gelu'), (64, 'silu')]",0.3,0.97,512,0.01,0.1,1.4523,0.6324,22
73,[512],"[(512, 'leaky_relu')]",0.3,0.99,512,0.01,0.01,1.4528,0.6832,17
74,[512],"[(512, 'leaky_relu')]",0.3,0.97,258,0.01,0.001,1.4549,0.704,18
75,[512],"[(512, 'gelu')]",0.3,0.97,512,0.01,0.001,1.4559,0.6747,16
76,[256],"[(256, 'silu')]",0.3,0.97,258,0.01,0.1,1.4559,0.675,17
77,[512],"[(512, 'gelu')]",0.3,0.99,512,0.01,0.01,1.4562,0.675,17
78,[256],"[(256, 'gelu')]",0.3,0.97,512,0.01,0.1,1.4582,0.6682,21
